2026-09-16T02:32:07.074265156Z [inf]  Starting Container
2026-09-16T02:32:07.424892879Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:07.424897469Z [inf]  Successfully connected to the database
2026-09-16T02:32:07.424900829Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:07.848344921Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:08.550805429Z [inf]  Successfully connected to the database
2026-09-16T02:32:08.550811749Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:09.062484426Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:09.787500267Z [inf]  Successfully connected to the database
2026-09-16T02:32:09.787504217Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:10.335519895Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:11.098748567Z [inf]  Successfully connected to the database
2026-09-16T02:32:11.098751937Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:11.649919875Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:12.377267888Z [inf]  Successfully connected to the database
2026-09-16T02:32:12.377271448Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:12.831706419Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:13.593964594Z [inf]  Successfully connected to the database
2026-09-16T02:32:13.593968234Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:14.179598789Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:14.805773142Z [inf]  Successfully connected to the database
2026-09-16T02:32:14.805783322Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:15.364156866Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:16.197289417Z [inf]  Successfully connected to the database
2026-09-16T02:32:16.197294267Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:16.602080159Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:17.430581921Z [inf]  Successfully connected to the database
2026-09-16T02:32:17.430585430Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:17.889497550Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:18.729058900Z [inf]  Successfully connected to the database
2026-09-16T02:32:18.729062130Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
2026-09-16T02:32:19.189007022Z [wrn]  No .env file found, relying on system environment variables
2026-09-16T02:32:19.931720598Z [inf]  Successfully connected to the database
2026-09-16T02:32:19.931726228Z [err]  CRITICAL ERROR: Neither FIREBASE_CREDENTIALS_JSON nor firebase-credentials.json found
